query,table_size,iteration,execution_time_ms,num_results
in the house tonight,1000,1,4.823446273803711,7
in the house tonight,1000,2,1.5611648559570312,7
in the house tonight,1000,3,1.4750957489013672,7
in the house tonight,2000,1,4.413366317749023,10
in the house tonight,2000,2,1.6794204711914062,10
in the house tonight,2000,3,1.7168521881103516,10
in the house tonight,4000,1,8.341550827026367,10
in the house tonight,4000,2,1.4426708221435547,10
in the house tonight,4000,3,1.5091896057128906,10
in the house tonight,8000,1,10.020971298217773,10
in the house tonight,8000,2,1.6486644744873047,10
in the house tonight,8000,3,2.249002456665039,10
in the house tonight,16000,1,18.227100372314453,10
in the house tonight,16000,2,1.827239990234375,10
in the house tonight,16000,3,1.6627311706542969,10
in the house tonight,32000,1,17.512798309326172,10
in the house tonight,32000,2,3.4525394439697266,10
in the house tonight,32000,3,2.5866031646728516,10
in the house tonight,64000,1,16.246557235717773,10
in the house tonight,64000,2,4.682302474975586,10
in the house tonight,64000,3,4.161834716796875,10
love,1000,1,61.539649963378906,10
love,1000,2,4.601478576660156,10
love,1000,3,4.784584045410156,10
love,2000,1,87.62574195861816,10
love,2000,2,9.350299835205078,10
love,2000,3,10.123252868652344,10
love,4000,1,205.42168617248535,10
love,4000,2,17.862558364868164,10
love,4000,3,16.491413116455078,10
love,8000,1,443.0346488952637,10
love,8000,2,41.992902755737305,10
love,8000,3,38.32697868347168,10
love,16000,1,613.6209964752197,10
love,16000,2,76.43294334411621,10
love,16000,3,78.46665382385254,10
love,32000,1,1452.0444869995117,10
love,32000,2,158.31995010375977,10
love,32000,3,146.79765701293945,10
love,64000,1,2256.736993789673,10
love,64000,2,363.9099597930908,10
love,64000,3,284.06286239624023,10
